"Time (UTC)","BZN|NO2 > BZN|NO1 [MW]","BZN|NO1 > BZN|NO2 [MW]"
"01.01.2021 00:00 - 01.01.2021 01:00","0","526"
"01.01.2021 01:00 - 01.01.2021 02:00","0","1084"
"01.01.2021 02:00 - 01.01.2021 03:00","0","1256"
"01.01.2021 03:00 - 01.01.2021 04:00","0","1218"
"01.01.2021 04:00 - 01.01.2021 05:00","0","986"
"01.01.2021 05:00 - 01.01.2021 06:00","0","508"
"01.01.2021 06:00 - 01.01.2021 07:00","0","133"
"01.01.2021 07:00 - 01.01.2021 08:00","126","0"
"01.01.2021 08:00 - 01.01.2021 09:00","249","0"
"01.01.2021 09:00 - 01.01.2021 10:00","389","0"
"01.01.2021 10:00 - 01.01.2021 11:00","766","0"
"01.01.2021 11:00 - 01.01.2021 12:00","842","0"
"01.01.2021 12:00 - 01.01.2021 13:00","875","0"
"01.01.2021 13:00 - 01.01.2021 14:00","1008","0"
"01.01.2021 14:00 - 01.01.2021 15:00","1053","0"
"01.01.2021 15:00 - 01.01.2021 16:00","961","0"
"01.01.2021 16:00 - 01.01.2021 17:00","921","0"
"01.01.2021 17:00 - 01.01.2021 18:00","917","0"
"01.01.2021 18:00 - 01.01.2021 19:00","800","0"
"01.01.2021 19:00 - 01.01.2021 20:00","681","0"
"01.01.2021 20:00 - 01.01.2021 21:00","744","0"
"01.01.2021 21:00 - 01.01.2021 22:00","658","0"
"01.01.2021 22:00 - 01.01.2021 23:00","336","0"
"01.01.2021 23:00 - 02.01.2021 00:00","0","111"
"02.01.2021 00:00 - 02.01.2021 01:00","0","636"
"02.01.2021 01:00 - 02.01.2021 02:00","0","800"
"02.01.2021 02:00 - 02.01.2021 03:00","0","935"
"02.01.2021 03:00 - 02.01.2021 04:00","0","773"
"02.01.2021 04:00 - 02.01.2021 05:00","0","449"
"02.01.2021 05:00 - 02.01.2021 06:00","0","307"
"02.01.2021 06:00 - 02.01.2021 07:00","91","0"
"02.01.2021 07:00 - 02.01.2021 08:00","438","0"
"02.01.2021 08:00 - 02.01.2021 09:00","588","0"
"02.01.2021 09:00 - 02.01.2021 10:00","572","0"
"02.01.2021 10:00 - 02.01.2021 11:00","656","0"
"02.01.2021 11:00 - 02.01.2021 12:00","706","0"
"02.01.2021 12:00 - 02.01.2021 13:00","728","0"
"02.01.2021 13:00 - 02.01.2021 14:00","879","0"
"02.01.2021 14:00 - 02.01.2021 15:00","1014","0"
"02.01.2021 15:00 - 02.01.2021 16:00","1099","0"
"02.01.2021 16:00 - 02.01.2021 17:00","1188","0"
"02.01.2021 17:00 - 02.01.2021 18:00","1187","0"
"02.01.2021 18:00 - 02.01.2021 19:00","1028","0"
"02.01.2021 19:00 - 02.01.2021 20:00","944","0"
"02.01.2021 20:00 - 02.01.2021 21:00","997","0"
"02.01.2021 21:00 - 02.01.2021 22:00","832","0"
"02.01.2021 22:00 - 02.01.2021 23:00","710","0"
"02.01.2021 23:00 - 03.01.2021 00:00","599","0"
"03.01.2021 00:00 - 03.01.2021 01:00","0","201"
"03.01.2021 01:00 - 03.01.2021 02:00","0","678"
"03.01.2021 02:00 - 03.01.2021 03:00","0","672"
"03.01.2021 03:00 - 03.01.2021 04:00","0","648"
"03.01.2021 04:00 - 03.01.2021 05:00","0","612"
"03.01.2021 05:00 - 03.01.2021 06:00","0","529"
"03.01.2021 06:00 - 03.01.2021 07:00","0","60"
"03.01.2021 07:00 - 03.01.2021 08:00","296","0"
"03.01.2021 08:00 - 03.01.2021 09:00","522","0"
"03.01.2021 09:00 - 03.01.2021 10:00","575","0"
"03.01.2021 10:00 - 03.01.2021 11:00","590","0"
"03.01.2021 11:00 - 03.01.2021 12:00","517","0"
"03.01.2021 12:00 - 03.01.2021 13:00","470","0"
"03.01.2021 13:00 - 03.01.2021 14:00","515","0"
"03.01.2021 14:00 - 03.01.2021 15:00","775","0"
"03.01.2021 15:00 - 03.01.2021 16:00","1109","0"
"03.01.2021 16:00 - 03.01.2021 17:00","1237","0"
"03.01.2021 17:00 - 03.01.2021 18:00","1465","0"
"03.01.2021 18:00 - 03.01.2021 19:00","1108","0"
"03.01.2021 19:00 - 03.01.2021 20:00","655","0"
"03.01.2021 20:00 - 03.01.2021 21:00","698","0"
"03.01.2021 21:00 - 03.01.2021 22:00","509","0"
"03.01.2021 22:00 - 03.01.2021 23:00","318","0"
"03.01.2021 23:00 - 04.01.2021 00:00","0","29"
"04.01.2021 00:00 - 04.01.2021 01:00","0","58"
"04.01.2021 01:00 - 04.01.2021 02:00","0","223"
"04.01.2021 02:00 - 04.01.2021 03:00","0","195"
"04.01.2021 03:00 - 04.01.2021 04:00","0","315"
"04.01.2021 04:00 - 04.01.2021 05:00","229","0"
"04.01.2021 05:00 - 04.01.2021 06:00","679","0"
"04.01.2021 06:00 - 04.01.2021 07:00","1130","0"
"04.01.2021 07:00 - 04.01.2021 08:00","1269","0"
"04.01.2021 08:00 - 04.01.2021 09:00","1320","0"
"04.01.2021 09:00 - 04.01.2021 10:00","1446","0"
"04.01.2021 10:00 - 04.01.2021 11:00","1407","0"
"04.01.2021 11:00 - 04.01.2021 12:00","1282","0"
"04.01.2021 12:00 - 04.01.2021 13:00","1251","0"
"04.01.2021 13:00 - 04.01.2021 14:00","1220","0"
"04.01.2021 14:00 - 04.01.2021 15:00","1469","0"
"04.01.2021 15:00 - 04.01.2021 16:00","1664","0"
"04.01.2021 16:00 - 04.01.2021 17:00","1662","0"
"04.01.2021 17:00 - 04.01.2021 18:00","1920","0"
"04.01.2021 18:00 - 04.01.2021 19:00","1847","0"
"04.01.2021 19:00 - 04.01.2021 20:00","1488","0"
"04.01.2021 20:00 - 04.01.2021 21:00","1283","0"
"04.01.2021 21:00 - 04.01.2021 22:00","932","0"
"04.01.2021 22:00 - 04.01.2021 23:00","1236","0"
"04.01.2021 23:00 - 05.01.2021 00:00","1574","0"
"05.01.2021 00:00 - 05.01.2021 01:00","1769","0"
"05.01.2021 01:00 - 05.01.2021 02:00","1687","0"
"05.01.2021 02:00 - 05.01.2021 03:00","1684","0"
"05.01.2021 03:00 - 05.01.2021 04:00","1602","0"
"05.01.2021 04:00 - 05.01.2021 05:00","1574","0"
"05.01.2021 05:00 - 05.01.2021 06:00","1783","0"
"05.01.2021 06:00 - 05.01.2021 07:00","2331","0"
"05.01.2021 07:00 - 05.01.2021 08:00","2551","0"
"05.01.2021 08:00 - 05.01.2021 09:00","2486","0"
"05.01.2021 09:00 - 05.01.2021 10:00","2579","0"
"05.01.2021 10:00 - 05.01.2021 11:00","2424","0"
"05.01.2021 11:00 - 05.01.2021 12:00","2464","0"
"05.01.2021 12:00 - 05.01.2021 13:00","2481","0"
"05.01.2021 13:00 - 05.01.2021 14:00","2558","0"
"05.01.2021 14:00 - 05.01.2021 15:00","2537","0"
"05.01.2021 15:00 - 05.01.2021 16:00","2654","0"
"05.01.2021 16:00 - 05.01.2021 17:00","2796","0"
"05.01.2021 17:00 - 05.01.2021 18:00","2820","0"
"05.01.2021 18:00 - 05.01.2021 19:00","2737","0"
"05.01.2021 19:00 - 05.01.2021 20:00","2501","0"
"05.01.2021 20:00 - 05.01.2021 21:00","2217","0"
"05.01.2021 21:00 - 05.01.2021 22:00","2082","0"
"05.01.2021 22:00 - 05.01.2021 23:00","2030","0"
"05.01.2021 23:00 - 06.01.2021 00:00","1772","0"
"06.01.2021 00:00 - 06.01.2021 01:00","1790","0"
"06.01.2021 01:00 - 06.01.2021 02:00","1795","0"
"06.01.2021 02:00 - 06.01.2021 03:00","1576","0"
"06.01.2021 03:00 - 06.01.2021 04:00","1458","0"
"06.01.2021 04:00 - 06.01.2021 05:00","1057","0"
"06.01.2021 05:00 - 06.01.2021 06:00","894","0"
"06.01.2021 06:00 - 06.01.2021 07:00","844","0"
"06.01.2021 07:00 - 06.01.2021 08:00","1259","0"
"06.01.2021 08:00 - 06.01.2021 09:00","1188","0"
"06.01.2021 09:00 - 06.01.2021 10:00","1739","0"
"06.01.2021 10:00 - 06.01.2021 11:00","1571","0"
"06.01.2021 11:00 - 06.01.2021 12:00","1597","0"
"06.01.2021 12:00 - 06.01.2021 13:00","1664","0"
"06.01.2021 13:00 - 06.01.2021 14:00","1759","0"
"06.01.2021 14:00 - 06.01.2021 15:00","2165","0"
"06.01.2021 15:00 - 06.01.2021 16:00","2481","0"
"06.01.2021 16:00 - 06.01.2021 17:00","1875","0"
"06.01.2021 17:00 - 06.01.2021 18:00","1921","0"
"06.01.2021 18:00 - 06.01.2021 19:00","1344","0"
"06.01.2021 19:00 - 06.01.2021 20:00","1211","0"
"06.01.2021 20:00 - 06.01.2021 21:00","930","0"
"06.01.2021 21:00 - 06.01.2021 22:00","1015","0"
"06.01.2021 22:00 - 06.01.2021 23:00","893","0"
"06.01.2021 23:00 - 07.01.2021 00:00","479","0"
"07.01.2021 00:00 - 07.01.2021 01:00","248","0"
"07.01.2021 01:00 - 07.01.2021 02:00","326","0"
"07.01.2021 02:00 - 07.01.2021 03:00","525","0"
"07.01.2021 03:00 - 07.01.2021 04:00","450","0"
"07.01.2021 04:00 - 07.01.2021 05:00","1056","0"
"07.01.2021 05:00 - 07.01.2021 06:00","1570","0"
"07.01.2021 06:00 - 07.01.2021 07:00","1507","0"
"07.01.2021 07:00 - 07.01.2021 08:00","1684","0"
"07.01.2021 08:00 - 07.01.2021 09:00","1530","0"
"07.01.2021 09:00 - 07.01.2021 10:00","1599","0"
"07.01.2021 10:00 - 07.01.2021 11:00","1356","0"
"07.01.2021 11:00 - 07.01.2021 12:00","1259","0"
"07.01.2021 12:00 - 07.01.2021 13:00","1485","0"
"07.01.2021 13:00 - 07.01.2021 14:00","1338","0"
"07.01.2021 14:00 - 07.01.2021 15:00","1383","0"
"07.01.2021 15:00 - 07.01.2021 16:00","1261","0"
