"Time (UTC)","BZN|SE3 > BZN|NO1 [MW]","BZN|NO1 > BZN|SE3 [MW]"
"01.01.2022 00:00 - 01.01.2022 01:00","1065","0"
"01.01.2022 01:00 - 01.01.2022 02:00","927","0"
"01.01.2022 02:00 - 01.01.2022 03:00","748","0"
"01.01.2022 03:00 - 01.01.2022 04:00","918","0"
"01.01.2022 04:00 - 01.01.2022 05:00","826","0"
"01.01.2022 05:00 - 01.01.2022 06:00","998","0"
"01.01.2022 06:00 - 01.01.2022 07:00","1145","0"
"01.01.2022 07:00 - 01.01.2022 08:00","981","0"
"01.01.2022 08:00 - 01.01.2022 09:00","649","0"
"01.01.2022 09:00 - 01.01.2022 10:00","488","0"
"01.01.2022 10:00 - 01.01.2022 11:00","452","0"
"01.01.2022 11:00 - 01.01.2022 12:00","587","0"
"01.01.2022 12:00 - 01.01.2022 13:00","784","0"
"01.01.2022 13:00 - 01.01.2022 14:00","696","0"
"01.01.2022 14:00 - 01.01.2022 15:00","605","0"
"01.01.2022 15:00 - 01.01.2022 16:00","882","0"
"01.01.2022 16:00 - 01.01.2022 17:00","1035","0"
"01.01.2022 17:00 - 01.01.2022 18:00","1174","0"
"01.01.2022 18:00 - 01.01.2022 19:00","1548","0"
"01.01.2022 19:00 - 01.01.2022 20:00","1514","0"
"01.01.2022 20:00 - 01.01.2022 21:00","1505","0"
"01.01.2022 21:00 - 01.01.2022 22:00","1439","0"
"01.01.2022 22:00 - 01.01.2022 23:00","1034","0"
"01.01.2022 23:00 - 02.01.2022 00:00","1291","0"
"02.01.2022 00:00 - 02.01.2022 01:00","1253","0"
"02.01.2022 01:00 - 02.01.2022 02:00","1362","0"
"02.01.2022 02:00 - 02.01.2022 03:00","1515","0"
"02.01.2022 03:00 - 02.01.2022 04:00","1693","0"
"02.01.2022 04:00 - 02.01.2022 05:00","1906","0"
"02.01.2022 05:00 - 02.01.2022 06:00","1976","0"
"02.01.2022 06:00 - 02.01.2022 07:00","1631","0"
"02.01.2022 07:00 - 02.01.2022 08:00","1597","0"
"02.01.2022 08:00 - 02.01.2022 09:00","1544","0"
"02.01.2022 09:00 - 02.01.2022 10:00","1168","0"
"02.01.2022 10:00 - 02.01.2022 11:00","964","0"
"02.01.2022 11:00 - 02.01.2022 12:00","915","0"
"02.01.2022 12:00 - 02.01.2022 13:00","860","0"
"02.01.2022 13:00 - 02.01.2022 14:00","867","0"
"02.01.2022 14:00 - 02.01.2022 15:00","693","0"
"02.01.2022 15:00 - 02.01.2022 16:00","729","0"
"02.01.2022 16:00 - 02.01.2022 17:00","911","0"
"02.01.2022 17:00 - 02.01.2022 18:00","747","0"
"02.01.2022 18:00 - 02.01.2022 19:00","636","0"
"02.01.2022 19:00 - 02.01.2022 20:00","523","0"
"02.01.2022 20:00 - 02.01.2022 21:00","296","0"
"02.01.2022 21:00 - 02.01.2022 22:00","166","0"
"02.01.2022 22:00 - 02.01.2022 23:00","413","0"
"02.01.2022 23:00 - 03.01.2022 00:00","941","0"
"03.01.2022 00:00 - 03.01.2022 01:00","1305","0"
"03.01.2022 01:00 - 03.01.2022 02:00","1343","0"
"03.01.2022 02:00 - 03.01.2022 03:00","1165","0"
"03.01.2022 03:00 - 03.01.2022 04:00","1199","0"
"03.01.2022 04:00 - 03.01.2022 05:00","906","0"
"03.01.2022 05:00 - 03.01.2022 06:00","446","0"
"03.01.2022 06:00 - 03.01.2022 07:00","260","0"
"03.01.2022 07:00 - 03.01.2022 08:00","150","0"
"03.01.2022 08:00 - 03.01.2022 09:00","304","0"
"03.01.2022 09:00 - 03.01.2022 10:00","357","0"
"03.01.2022 10:00 - 03.01.2022 11:00","206","0"
"03.01.2022 11:00 - 03.01.2022 12:00","423","0"
"03.01.2022 12:00 - 03.01.2022 13:00","438","0"
"03.01.2022 13:00 - 03.01.2022 14:00","355","0"
"03.01.2022 14:00 - 03.01.2022 15:00","354","0"
"03.01.2022 15:00 - 03.01.2022 16:00","367","0"
"03.01.2022 16:00 - 03.01.2022 17:00","402","0"
"03.01.2022 17:00 - 03.01.2022 18:00","634","0"
"03.01.2022 18:00 - 03.01.2022 19:00","487","0"
"03.01.2022 19:00 - 03.01.2022 20:00","668","0"
"03.01.2022 20:00 - 03.01.2022 21:00","659","0"
"03.01.2022 21:00 - 03.01.2022 22:00","724","0"
"03.01.2022 22:00 - 03.01.2022 23:00","722","0"
"03.01.2022 23:00 - 04.01.2022 00:00","523","0"
"04.01.2022 00:00 - 04.01.2022 01:00","681","0"
"04.01.2022 01:00 - 04.01.2022 02:00","543","0"
"04.01.2022 02:00 - 04.01.2022 03:00","481","0"
"04.01.2022 03:00 - 04.01.2022 04:00","398","0"
"04.01.2022 04:00 - 04.01.2022 05:00","269","0"
"04.01.2022 05:00 - 04.01.2022 06:00","82","0"
"04.01.2022 06:00 - 04.01.2022 07:00","0","79"
"04.01.2022 07:00 - 04.01.2022 08:00","0","572"
"04.01.2022 08:00 - 04.01.2022 09:00","0","206"
"04.01.2022 09:00 - 04.01.2022 10:00","0","325"
"04.01.2022 10:00 - 04.01.2022 11:00","0","197"
"04.01.2022 11:00 - 04.01.2022 12:00","0","272"
"04.01.2022 12:00 - 04.01.2022 13:00","0","127"
"04.01.2022 13:00 - 04.01.2022 14:00","0","263"
"04.01.2022 14:00 - 04.01.2022 15:00","0","519"
"04.01.2022 15:00 - 04.01.2022 16:00","0","939"
"04.01.2022 16:00 - 04.01.2022 17:00","0","1352"
"04.01.2022 17:00 - 04.01.2022 18:00","0","1166"
"04.01.2022 18:00 - 04.01.2022 19:00","0","589"
"04.01.2022 19:00 - 04.01.2022 20:00","208","0"
"04.01.2022 20:00 - 04.01.2022 21:00","526","0"
"04.01.2022 21:00 - 04.01.2022 22:00","718","0"
"04.01.2022 22:00 - 04.01.2022 23:00","849","0"
"04.01.2022 23:00 - 05.01.2022 00:00","456","0"
"05.01.2022 00:00 - 05.01.2022 01:00","548","0"
