"Time (UTC)","Day-ahead Total Load Forecast [MW] - BZN|NO5","Actual Total Load [MW] - BZN|NO5"
"01.01.2020 00:00 - 01.01.2020 01:00","1843","1950"
"01.01.2020 01:00 - 01.01.2020 02:00","1806","1926"
"01.01.2020 02:00 - 01.01.2020 03:00","1773","1913"
"01.01.2020 03:00 - 01.01.2020 04:00","1770","1894"
"01.01.2020 04:00 - 01.01.2020 05:00","1752","1901"
"01.01.2020 05:00 - 01.01.2020 06:00","1737","1926"
"01.01.2020 06:00 - 01.01.2020 07:00","1729","1946"
"01.01.2020 07:00 - 01.01.2020 08:00","1765","2040"
"01.01.2020 08:00 - 01.01.2020 09:00","1847","2007"
"01.01.2020 09:00 - 01.01.2020 10:00","1889","2040"
"01.01.2020 10:00 - 01.01.2020 11:00","1916","2082"
"01.01.2020 11:00 - 01.01.2020 12:00","1931","2105"
"01.01.2020 12:00 - 01.01.2020 13:00","1925","2112"
"01.01.2020 13:00 - 01.01.2020 14:00","1940","2133"
"01.01.2020 14:00 - 01.01.2020 15:00","1974","2184"
"01.01.2020 15:00 - 01.01.2020 16:00","2006","2210"
"01.01.2020 16:00 - 01.01.2020 17:00","1991","2212"
"01.01.2020 17:00 - 01.01.2020 18:00","1965","2154"
"01.01.2020 18:00 - 01.01.2020 19:00","1936","2159"
"01.01.2020 19:00 - 01.01.2020 20:00","1907","2130"
"01.01.2020 20:00 - 01.01.2020 21:00","1898","2094"
"01.01.2020 21:00 - 01.01.2020 22:00","1859","2048"
"01.01.2020 22:00 - 01.01.2020 23:00","1798","1980"
"01.01.2020 23:00 - 02.01.2020 00:00","1752","1907"
"02.01.2020 00:00 - 02.01.2020 01:00","1747","1882"
"02.01.2020 01:00 - 02.01.2020 02:00","1729","1875"
"02.01.2020 02:00 - 02.01.2020 03:00","1714","1876"
"02.01.2020 03:00 - 02.01.2020 04:00","1725","1865"
"02.01.2020 04:00 - 02.01.2020 05:00","1798","1906"
"02.01.2020 05:00 - 02.01.2020 06:00","1888","1995"
"02.01.2020 06:00 - 02.01.2020 07:00","2033","2110"
"02.01.2020 07:00 - 02.01.2020 08:00","2093","2174"
"02.01.2020 08:00 - 02.01.2020 09:00","2076","2155"
"02.01.2020 09:00 - 02.01.2020 10:00","2089","2172"
"02.01.2020 10:00 - 02.01.2020 11:00","2116","2179"
"02.01.2020 11:00 - 02.01.2020 12:00","2074","2139"
"02.01.2020 12:00 - 02.01.2020 13:00","2087","2182"
"02.01.2020 13:00 - 02.01.2020 14:00","2121","2201"
"02.01.2020 14:00 - 02.01.2020 15:00","2175","2215"
"02.01.2020 15:00 - 02.01.2020 16:00","2189","2273"
"02.01.2020 16:00 - 02.01.2020 17:00","2193","2220"
"02.01.2020 17:00 - 02.01.2020 18:00","2072","2204"
"02.01.2020 18:00 - 02.01.2020 19:00","2016","2173"
"02.01.2020 19:00 - 02.01.2020 20:00","1938","2119"
"02.01.2020 20:00 - 02.01.2020 21:00","1859","2068"
"02.01.2020 21:00 - 02.01.2020 22:00","1810","2030"
"02.01.2020 22:00 - 02.01.2020 23:00","1743","1965"
"02.01.2020 23:00 - 03.01.2020 00:00","1650","1919"
"03.01.2020 00:00 - 03.01.2020 01:00","1669","1871"
"03.01.2020 01:00 - 03.01.2020 02:00","1640","1841"
"03.01.2020 02:00 - 03.01.2020 03:00","1578","1823"
"03.01.2020 03:00 - 03.01.2020 04:00","1556","1823"
"03.01.2020 04:00 - 03.01.2020 05:00","1595","1948"
"03.01.2020 05:00 - 03.01.2020 06:00","1800","2029"
"03.01.2020 06:00 - 03.01.2020 07:00","1971","2171"
"03.01.2020 07:00 - 03.01.2020 08:00","2020","2257"
"03.01.2020 08:00 - 03.01.2020 09:00","2113","2279"
"03.01.2020 09:00 - 03.01.2020 10:00","2168","2315"
"03.01.2020 10:00 - 03.01.2020 11:00","2203","2270"
"03.01.2020 11:00 - 03.01.2020 12:00","2167","2284"
"03.01.2020 12:00 - 03.01.2020 13:00","2232","2276"
"03.01.2020 13:00 - 03.01.2020 14:00","2230","2306"
"03.01.2020 14:00 - 03.01.2020 15:00","2239","2313"
"03.01.2020 15:00 - 03.01.2020 16:00","2279","2356"
"03.01.2020 16:00 - 03.01.2020 17:00","2272","2345"
"03.01.2020 17:00 - 03.01.2020 18:00","2233","2323"
"03.01.2020 18:00 - 03.01.2020 19:00","2177","2312"
