"Week",Stored Energy Value [MWh] - BZN|NO1
"Week 1","2955197"
"Week 2","2754532"
"Week 3","2556285"
"Week 4","2388301"
"Week 5","2165300"
"Week 6","1980711"
"Week 7","1812166"
"Week 8","1587481"
"Week 9","1339030"
"Week 10","1130841"
"Week 11","952724"
"Week 12","798909"
"Week 13","680064"
"Week 14","580540"
"Week 15","485334"
"Week 16","596200"
"Week 17","718109"
"Week 18","806441"
"Week 19","1045616"
"Week 20","1347912"
"Week 21","1982571"
"Week 22","2492802"
"Week 23","2933555"
"Week 24","3212965"
"Week 25","3430212"
"Week 26","3900786"
"Week 27","4012187"
"Week 28","3994165"
"Week 29","4009752"
"Week 30","4043935"
"Week 31","4104882"
"Week 32","4060813"
"Week 33","4108040"
"Week 34","4064965"
"Week 35","4020888"
"Week 36","3973981"
"Week 37","4104408"
"Week 38","4123468"
"Week 39","4557852"
"Week 40","4755301"
"Week 41","4848058"
"Week 42","4870782"
"Week 43","4908679"
"Week 44","5107865"
"Week 45","5323211"
"Week 46","5223096"
"Week 47","5058593"
"Week 48","4854581"
"Week 49","4547299"
"Week 50","4240847"
"Week 51","4054917"
"Week 52","3915448"
