"Week",Stored Energy Value [MWh] - BZN|NO3
"Week 1","5314677"
"Week 2","5423690"
"Week 3","5363892"
"Week 4","5186818"
"Week 5","4897580"
"Week 6","4603031"
"Week 7","4251595"
"Week 8","3909162"
"Week 9","3656158"
"Week 10","3360553"
"Week 11","3083194"
"Week 12","2860931"
"Week 13","2638904"
"Week 14","2338854"
"Week 15","2040955"
"Week 16","1912765"
"Week 17","1844130"
"Week 18","1849392"
"Week 19","2051040"
"Week 20","2328777"
"Week 21","3358900"
"Week 22","4008874"
"Week 23","4814074"
"Week 24","5665552"
"Week 25","6457307"
"Week 26","7498030"
"Week 27","7863163"
"Week 28","7957172"
"Week 29","7960713"
"Week 30","8051580"
"Week 31","8100718"
"Week 32","8018687"
"Week 33","7929291"
"Week 34","7826237"
"Week 35","7570911"
"Week 36","7227405"
"Week 37","7530252"
"Week 38","7517500"
"Week 39","7387157"
"Week 40","7594725"
"Week 41","7617780"
"Week 42","7404661"
"Week 43","7348022"
"Week 44","7302065"
"Week 45","7411170"
"Week 46","7156747"
"Week 47","6788733"
"Week 48","6337838"
"Week 49","5928768"
"Week 50","5543624"
"Week 51","5217632"
"Week 52","5038234"
