"Week",Stored Energy Value [MWh] - BZN|NO5
"Week 1","12427000"
"Week 2","11589000"
"Week 3","10939000"
"Week 4","10004000"
"Week 5","9289000"
"Week 6","8421021"
"Week 7","7744098"
"Week 8","7425593"
"Week 9","6846774"
"Week 10","6311281"
"Week 11","5702933"
"Week 12","5273380"
"Week 13","5178739"
"Week 14","4842626"
"Week 15","4320127"
"Week 16","3987070"
"Week 17","3508283"
"Week 18","3203545"
"Week 19","3488039"
"Week 20","3995016"
"Week 21","4821520"
"Week 22","6139648"
"Week 23","7481579"
"Week 24","8674483"
"Week 25","9358414"
"Week 26","9777402"
"Week 27","10247931"
"Week 28","10434749"
"Week 29","10405496"
"Week 30","10734255"
"Week 31","10668628"
"Week 32","10618831"
"Week 33","10610691"
"Week 34","10457059"
"Week 35","10084646"
"Week 36","9898171"
"Week 37","9640594"
"Week 38","9743291"
"Week 39","10119081"
"Week 40","10558269"
"Week 41","10872155"
"Week 42","11126719"
"Week 43","11848757"
"Week 44","11839183"
"Week 45","11590639"
"Week 46","11555881"
"Week 47","11151909"
"Week 48","10482831"
"Week 49","9751508"
"Week 50","9480211"
"Week 51","8864417"
"Week 52","8631916"
