"Week",Stored Energy Value [MWh] - BZN|SE3
"Week 1","2220000"
"Week 2","2189000"
"Week 3","2168000"
"Week 4","2096000"
"Week 5","2057000"
"Week 6","1970000"
"Week 7","1934000"
"Week 8","1975000"
"Week 9","1895000"
"Week 10","1814000"
"Week 11","1789000"
"Week 12","1739000"
"Week 13","1665000"
"Week 14","1597000"
"Week 15","1593000"
"Week 16","1572000"
"Week 17","1644000"
"Week 18","1692000"
"Week 19","1736000"
"Week 20","1722000"
"Week 21","1731000"
"Week 22","1845000"
"Week 23","1924000"
"Week 24","2019000"
"Week 25","2042000"
"Week 26","2020000"
"Week 27","2037000"
"Week 28","2099000"
"Week 29","2110000"
"Week 30","2144000"
"Week 31","2164000"
"Week 32","2111000"
"Week 33","2042000"
"Week 34","1963000"
"Week 35","1911000"
"Week 36","1805000"
"Week 37","1761000"
"Week 38","1692000"
"Week 39","1715000"
"Week 40","1706000"
"Week 41","1851000"
"Week 42","1901000"
"Week 43","1954000"
"Week 44","2070000"
"Week 45","2205000"
"Week 46","2190000"
"Week 47","2239000"
"Week 48","2224000"
"Week 49","2167000"
"Week 50","2117000"
"Week 51","2101000"
"Week 52","2089000"
"Week 53","N/A"
