"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|NO3","01.01.2021 00:00 - 01.01.2021 01:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","179","","67","2529","n/e","n/e","0","11","n/e","0","n/e","229"
"BZN|NO3","01.01.2021 01:00 - 01.01.2021 02:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","179","","67","2527","n/e","n/e","0","10","n/e","1","n/e","269"
"BZN|NO3","01.01.2021 02:00 - 01.01.2021 03:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","178","","67","2519","n/e","n/e","0","10","n/e","1","n/e","268"
"BZN|NO3","01.01.2021 03:00 - 01.01.2021 04:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","178","","66","2503","n/e","n/e","0","11","n/e","2","n/e","245"
"BZN|NO3","01.01.2021 04:00 - 01.01.2021 05:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","177","","66","2526","n/e","n/e","0","11","n/e","4","n/e","253"
"BZN|NO3","01.01.2021 05:00 - 01.01.2021 06:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","177","","66","2638","n/e","n/e","0","12","n/e","3","n/e","239"
"BZN|NO3","01.01.2021 06:00 - 01.01.2021 07:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","177","","66","2703","n/e","n/e","0","11","n/e","1","n/e","224"
"BZN|NO3","01.01.2021 07:00 - 01.01.2021 08:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","177","","73","2702","n/e","n/e","0","11","n/e","2","n/e","219"
"BZN|NO3","01.01.2021 08:00 - 01.01.2021 09:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","177","","73","2713","n/e","n/e","0","10","n/e","2","n/e","184"
"BZN|NO3","01.01.2021 09:00 - 01.01.2021 10:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","178","","73","2740","n/e","n/e","0","12","n/e","0","n/e","163"
"BZN|NO3","01.01.2021 10:00 - 01.01.2021 11:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","178","","73","2742","n/e","n/e","0","10","n/e","1","n/e","142"
"BZN|NO3","01.01.2021 11:00 - 01.01.2021 12:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","177","","73","2739","n/e","n/e","0","9","n/e","2","n/e","129"
"BZN|NO3","01.01.2021 12:00 - 01.01.2021 13:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","177","","73","2740","n/e","n/e","0","9","n/e","2","n/e","140"
"BZN|NO3","01.01.2021 13:00 - 01.01.2021 14:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","178","","74","2754","n/e","n/e","0","10","n/e","1","n/e","165"
"BZN|NO3","01.01.2021 14:00 - 01.01.2021 15:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","177","","73","2776","n/e","n/e","0","9","n/e","2","n/e","161"
"BZN|NO3","01.01.2021 15:00 - 01.01.2021 16:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","177","","73","2755","n/e","n/e","0","10","n/e","2","n/e","189"
"BZN|NO3","01.01.2021 16:00 - 01.01.2021 17:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","177","","73","2753","n/e","n/e","0","9","n/e","2","n/e","311"
"BZN|NO3","01.01.2021 17:00 - 01.01.2021 18:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","177","","72","2743","n/e","n/e","0","9","n/e","2","n/e","254"
"BZN|NO3","01.01.2021 18:00 - 01.01.2021 19:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","177","","72","2738","n/e","n/e","0","10","n/e","2","n/e","382"
"BZN|NO3","01.01.2021 19:00 - 01.01.2021 20:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","177","","70","2735","n/e","n/e","0","9","n/e","2","n/e","413"
"BZN|NO3","01.01.2021 20:00 - 01.01.2021 21:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","177","","69","2721","n/e","n/e","0","10","n/e","0","n/e","457"
"BZN|NO3","01.01.2021 21:00 - 01.01.2021 22:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","177","","66","2625","n/e","n/e","0","10","n/e","2","n/e","493"
"BZN|NO3","01.01.2021 22:00 - 01.01.2021 23:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","177","","65","2542","n/e","n/e","0","11","n/e","3","n/e","634"
"BZN|NO3","01.01.2021 23:00 - 02.01.2021 00:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","177","","64","2396","n/e","n/e","0","11","n/e","3","n/e","662"
"BZN|NO3","02.01.2021 00:00 - 02.01.2021 01:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","177","","64","2355","n/e","n/e","0","9","n/e","0","n/e","675"
"BZN|NO3","02.01.2021 01:00 - 02.01.2021 02:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","177","","63","2329","n/e","n/e","0","9","n/e","0","n/e","633"
