"Area","MTU","Biomass  - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"BZN|NO3","01.01.2022 00:00 - 01.01.2022 01:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","40","","389","2166","n/e","n/e","0","12","n/e","3","n/e","219"
"BZN|NO3","01.01.2022 01:00 - 01.01.2022 02:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","42","","390","2187","n/e","n/e","0","12","n/e","2","n/e","170"
"BZN|NO3","01.01.2022 02:00 - 01.01.2022 03:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","45","","405","2183","n/e","n/e","0","12","n/e","1","n/e","126"
"BZN|NO3","01.01.2022 03:00 - 01.01.2022 04:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","34","","393","2076","n/e","n/e","0","12","n/e","0","n/e","81"
"BZN|NO3","01.01.2022 04:00 - 01.01.2022 05:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","38","","398","2098","n/e","n/e","0","11","n/e","0","n/e","45"
"BZN|NO3","01.01.2022 05:00 - 01.01.2022 06:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","38","","394","2129","n/e","n/e","0","12","n/e","1","n/e","63"
"BZN|NO3","01.01.2022 06:00 - 01.01.2022 07:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","45","","412","2236","n/e","n/e","0","11","n/e","0","n/e","114"
"BZN|NO3","01.01.2022 07:00 - 01.01.2022 08:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","47","","417","2335","n/e","n/e","0","11","n/e","0","n/e","278"
"BZN|NO3","01.01.2022 08:00 - 01.01.2022 09:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","48","","411","2360","n/e","n/e","0","10","n/e","0","n/e","529"
"BZN|NO3","01.01.2022 09:00 - 01.01.2022 10:00 (UTC)","n/e","n/e","n/e","0","n/e","n/e","n/e","n/e","n/e","48","","406","2365","n/e","n/e","0","14","n/e","0","n/e","775"
